transaction_id,is_fraud
T28172-627593,0
T54671-862064,0
T54220-46200,0
T30767-801983,0
T26820-893272,0
T33529-116891,0
T15832-165749,0
T62854-439131,0
T53708-124310,0
T48190-561034,0
T4820-852055,0
T23718-228657,0
T43330-375984,0
T31965-808556,0
T51069-710794,0
T83033-460643,0
T11880-84221,0
T5076-777069,0
T2134-26872,0
T49266-534115,0
T48048-328141,0
T67340-375342,0
T49199-713806,0
T54187-582437,0
T2926-992253,0
T62129-875852,0
T77668-100732,0
T85812-533431,0
T21979-989148,0
T93804-208804,0
T70238-426237,0
T74888-972968,0
T6948-883200,0
T8701-567393,0
T65575-290031,0
T64423-900355,0
T51169-719523,0
T5458-297840,1
T70067-551125,0
T6019-986873,0
T65919-404626,0
T14765-144132,0
T10839-456548,0
T1040-887188,0
T58534-784574,0
T65336-816363,0
T60486-626895,0
T8632-360283,0
T79196-27531,0
T94051-582051,0
T62421-822447,0
T69953-370184,0
T52621-315807,0
T74911-363354,1
T58939-383727,1
T83990-889972,0
T89542-970845,0
T56548-249671,0
T43962-781918,0
T70483-659428,0
T67990-917561,0
T78020-630755,0
T40904-11722,0
T59555-545384,0
T32365-768017,0
T18161-874725,0
T72110-975886,0
T69050-254378,0
T25207-476613,0
T2264-278744,0
T84654-40194,0
T92365-309033,0
T2913-143445,0
T71592-461403,0
T16326-990019,0
T89856-549239,0
T96042-282097,0
T59269-418386,0
T81002-849392,0
T90478-644095,0
T13704-51079,0
T41439-276401,0
T64296-277749,0
T55071-332988,0
T76596-561557,0
T31691-819898,0
T68221-210994,0
T97345-201648,0
T75498-819375,0
T37339-147086,0
T81782-260075,0
T28546-603713,0
T90563-949776,1
T1434-961043,0
T63103-428112,0
T19279-358202,0
T99266-85962,0
T12277-269762,0
T64707-482342,0
T67663-942536,0
T68994-751695,0
T73304-152900,0
T47052-812758,0
T81962-325292,0
T73704-905463,0
T58770-639414,0
T12065-651066,0
T15858-526543,0
T99305-536965,0
T80105-513788,0
T40690-404726,0
T53669-616575,0
T42527-433766,1
T52151-125814,0
T62423-722761,0
T52235-687286,0
T12082-241116,0
T92933-755702,0
T55161-354994,0
T40208-529487,0
T58181-313821,0
T53599-718042,0
T4379-131710,0
T9221-978437,0
T4257-966385,0
